Date,nivel,bombeo,consumo,acum
07/05/2021 09:40,1746,0,1.0,0.0
07/05/2021 09:45,1730,0,1.0,1.0
07/05/2021 09:50,1714,0,1.106,2.106
07/05/2021 09:55,1701,0,1.032,3.138
07/05/2021 10:00,1688,0,1.008,4.145
07/05/2021 10:05,1673,0,0.983,5.128
07/05/2021 10:10,1661,0,1.032,6.16
07/05/2021 10:15,1646,0,1.106,7.266
07/05/2021 10:20,1628,0,1.229,8.495
07/05/2021 10:25,1611,0,1.278,9.773
07/05/2021 10:30,1624,1,1.277,11.05
07/05/2021 10:35,1638,1,1.18,12.229
07/05/2021 10:40,1659,1,1.106,13.335
07/05/2021 10:45,1679,1,0.86,14.195
07/05/2021 10:50,1719,1,0.793,14.987
07/05/2021 10:55,1742,1,0.719,15.706
07/05/2021 11:00,1766,1,1.13,16.836
07/05/2021 11:05,1789,1,0.987,17.823
07/05/2021 11:10,1818,1,0.85,18.674
07/05/2021 11:15,1847,1,0.707,19.381
07/05/2021 11:20,1876,1,0.71,20.091
07/05/2021 11:25,1905,1,0.714,20.805
07/05/2021 11:30,1934,1,0.838,21.644
07/05/2021 11:35,1958,1,0.962,22.606
07/05/2021 11:40,1982,1,1.081,23.686
07/05/2021 11:45,2006,1,0.984,24.67
07/05/2021 11:50,2034,1,0.762,25.432
07/05/2021 11:55,2067,1,0.712,26.144
07/05/2021 12:00,2093,1,0.909,27.053
07/05/2021 12:05,2113,1,0.885,27.937
07/05/2021 12:10,2112,1,1.032,28.969
07/05/2021 12:15,2102,0,1.302,30.272
07/05/2021 12:20,2092,0,0.86,31.132
07/05/2021 12:25,2077,0,0.909,32.041
07/05/2021 12:30,2065,0,0.983,33.024
07/05/2021 12:35,2052,0,0.86,33.884
07/05/2021 12:40,2042,0,0.86,34.744
07/05/2021 12:45,2030,0,0.909,35.653
07/05/2021 12:50,2015,0,1.008,36.661
07/05/2021 12:55,2001,0,1.057,37.717
07/05/2021 13:00,1987,0,1.032,38.749
07/05/2021 13:05,1973,0,1.032,39.782
07/05/2021 13:10,1959,0,1.081,40.863
07/05/2021 13:15,1943,0,1.106,41.969
07/05/2021 13:20,1928,0,1.13,43.099
07/05/2021 13:25,1913,0,1.106,44.205
07/05/2021 13:30,1898,0,1.253,45.458
07/05/2021 13:35,1877,0,1.327,46.785
07/05/2021 13:40,1859,0,1.18,47.964
07/05/2021 13:45,1850,0,1.081,49.046
07/05/2021 13:50,1833,0,1.008,50.053
07/05/2021 13:55,1818,0,1.18,51.233
07/05/2021 14:00,1802,0,1.081,52.314
07/05/2021 14:05,1789,0,1.057,53.371
07/05/2021 14:10,1775,0,1.032,54.403
07/05/2021 14:15,1760,0,1.13,55.533
07/05/2021 14:20,1743,0,1.18,56.713
07/05/2021 14:25,1727,0,1.229,57.941
07/05/2021 14:30,1710,0,1.204,59.145
07/05/2021 14:35,1694,0,1.155,60.3
07/05/2021 14:40,1680,0,1.13,61.431
07/05/2021 14:45,1664,0,1.13,62.561
07/05/2021 14:50,1648,0,1.229,63.79
07/05/2021 14:55,1630,0,1.229,65.018
07/05/2021 15:00,1614,0,1.229,66.247
07/05/2021 15:05,1607,0,1.106,67.353
07/05/2021 15:10,1644,1,1.047,68.399
07/05/2021 15:15,1661,1,0.939,69.338
07/05/2021 15:20,1685,1,1.267,70.605
07/05/2021 15:25,1708,1,1.101,71.706
07/05/2021 15:30,1732,1,1.103,72.809
07/05/2021 15:35,1756,1,1.101,73.909
07/05/2021 15:40,1780,1,1.103,75.012
07/05/2021 15:45,1803,1,1.103,76.115
07/05/2021 15:50,1827,1,1.024,77.138
07/05/2021 15:55,1854,1,0.943,78.081
07/05/2021 16:00,1881,1,0.86,78.941
07/05/2021 16:05,1908,1,0.857,79.798
07/05/2021 16:10,1935,1,0.808,80.606
07/05/2021 16:15,1964,1,0.761,81.368
07/05/2021 16:20,1993,1,0.761,82.129
07/05/2021 16:25,2020,1,0.86,82.988
07/05/2021 16:30,2045,1,1.081,84.069
07/05/2021 16:35,2065,1,1.105,85.174
07/05/2021 16:40,2091,1,1.154,86.329
07/05/2021 16:45,2114,1,1.18,87.508
07/05/2021 16:50,2109,1,1.253,88.762
07/05/2021 16:55,2101,0,1.106,89.867
07/05/2021 17:00,2088,0,1.008,90.875
07/05/2021 17:05,2073,0,1.032,91.907
07/05/2021 17:10,2059,0,0.885,92.792
07/05/2021 17:15,2052,0,0.811,93.603
07/05/2021 17:20,2040,0,0.639,94.241
07/05/2021 17:25,2033,0,0.786,95.028
07/05/2021 17:30,2020,0,0.835,95.863
07/05/2021 17:35,2006,0,1.106,96.969
07/05/2021 17:40,1988,0,1.081,98.05
07/05/2021 17:45,1976,0,0.958,99.009
07/05/2021 17:50,1967,0,0.983,99.992
07/05/2021 17:55,1948,0,0.934,100.925
07/05/2021 18:00,1938,0,1.106,102.031
07/05/2021 18:05,1922,0,0.958,102.99
07/05/2021 18:10,1909,0,1.081,104.071
07/05/2021 18:15,1894,0,1.081,105.152
07/05/2021 18:20,1878,0,1.106,106.258
07/05/2021 18:25,1864,0,1.057,107.315
07/05/2021 18:30,1851,0,0.983,108.297
07/05/2021 18:35,1838,0,0.934,109.231
07/05/2021 18:40,1826,0,0.909,110.14
07/05/2021 18:45,1814,0,0.786,110.927
07/05/2021 18:50,1806,0,0.737,111.664
07/05/2021 18:55,1796,0,0.688,112.352
07/05/2021 19:00,1786,0,0.786,113.138
07/05/2021 19:05,1774,0,0.835,113.974
07/05/2021 19:10,1762,0,0.86,114.834
07/05/2021 19:15,1751,0,0.86,115.694
07/05/2021 19:20,1739,0,0.86,116.554
07/05/2021 19:25,1727,0,0.86,117.414
07/05/2021 19:30,1716,0,0.811,118.225
07/05/2021 19:35,1706,0,0.86,119.085
07/05/2021 19:40,1692,0,0.909,119.994
07/05/2021 19:45,1679,0,0.909,120.904
07/05/2021 19:50,1669,0,0.86,121.764
07/05/2021 19:55,1657,0,0.762,122.525
07/05/2021 20:00,1648,0,0.737,123.263
07/05/2021 20:05,1639,0,0.639,123.902
07/05/2021 20:10,1631,0,0.639,124.54
07/05/2021 20:15,1622,0,0.639,125.179
07/05/2021 20:20,1630,1,0.854,126.033
07/05/2021 20:25,1637,1,0.737,126.77
07/05/2021 20:30,1669,1,0.663,127.434
07/05/2021 20:35,1702,1,0.452,127.886
07/05/2021 20:40,1735,1,0.452,128.338
07/05/2021 20:45,1767,1,0.503,128.841
07/05/2021 20:50,1798,1,0.554,129.396
07/05/2021 20:55,1828,1,0.624,130.019
07/05/2021 21:00,1858,1,0.642,130.661
07/05/2021 21:05,1887,1,0.663,131.324
07/05/2021 21:10,1917,1,0.48,131.804
07/05/2021 21:15,1954,1,0.442,132.246
07/05/2021 21:20,1991,1,0.369,132.615
07/05/2021 21:25,2022,1,0.394,133.009
07/05/2021 21:30,2054,1,0.712,133.721
07/05/2021 21:35,2078,1,0.745,134.466
07/05/2021 21:40,2108,1,0.663,135.13
07/05/2021 21:45,2111,1,0.59,135.719
07/05/2021 21:50,2108,0,0.516,136.236
07/05/2021 21:55,2101,0,0.467,136.702
07/05/2021 22:00,2096,0,0.467,137.169
07/05/2021 22:05,2089,0,0.491,137.661
07/05/2021 22:10,2081,0,0.541,138.201
07/05/2021 22:15,2074,0,0.467,138.668
07/05/2021 22:20,2070,0,0.442,139.111
07/05/2021 22:25,2063,0,0.516,139.627
07/05/2021 22:30,2053,0,0.614,140.241
07/05/2021 22:35,2045,0,0.663,140.904
07/05/2021 22:40,2036,0,0.467,141.371
07/05/2021 22:45,2034,0,0.467,141.838
07/05/2021 22:50,2026,0,0.467,142.305
07/05/2021 22:55,2017,0,0.639,142.944
07/05/2021 23:00,2008,0,0.688,143.632
07/05/2021 23:05,1998,0,0.663,144.296
07/05/2021 23:10,1990,0,0.614,144.91
07/05/2021 23:15,1983,0,0.565,145.475
07/05/2021 23:20,1975,0,0.541,146.016
07/05/2021 23:25,1968,0,0.541,146.556
07/05/2021 23:30,1961,0,0.541,147.097
07/05/2021 23:35,1953,0,0.541,147.638
07/05/2021 23:40,1946,0,0.565,148.203
07/05/2021 23:45,1938,0,0.516,148.719
07/05/2021 23:50,1932,0,0.491,149.21
07/05/2021 23:55,1926,0,0.418,149.628
07/06/2021 00:00,1921,0,0.418,150.046
07/06/2021 00:05,1915,0,0.418,150.463
07/06/2021 00:10,1909,0,0.442,150.906
07/06/2021 00:15,1903,0,0.418,151.324
07/06/2021 00:20,1898,0,0.418,151.741
07/06/2021 00:25,1892,0,0.393,152.134
07/06/2021 00:30,1887,0,0.418,152.552
07/06/2021 00:35,1881,0,0.393,152.945
07/06/2021 00:40,1876,0,0.393,153.339
07/06/2021 00:45,1871,0,0.369,153.707
07/06/2021 00:50,1866,0,0.393,154.1
07/06/2021 00:55,1860,0,0.418,154.518
07/06/2021 01:00,1854,0,0.442,154.96
07/06/2021 01:05,1848,0,0.442,155.403
07/06/2021 01:10,1842,0,0.418,155.82
07/06/2021 01:15,1837,0,0.344,156.164
07/06/2021 01:20,1834,0,0.344,156.509
07/06/2021 01:25,1828,0,0.344,156.853
07/06/2021 01:30,1823,0,0.369,157.221
07/06/2021 01:35,1819,0,0.369,157.59
07/06/2021 01:40,1813,0,0.369,157.958
07/06/2021 01:45,1808,0,0.393,158.352
07/06/2021 01:50,1803,0,0.344,158.696
07/06/2021 01:55,1799,0,0.344,159.04
07/06/2021 02:00,1794,0,0.319,159.359
07/06/2021 02:05,1790,0,0.344,159.703
07/06/2021 02:10,1785,0,0.369,160.072
07/06/2021 02:15,1779,0,0.369,160.44
07/06/2021 02:20,1775,0,0.344,160.784
07/06/2021 02:25,1771,0,0.319,161.104
07/06/2021 02:30,1766,0,0.344,161.448
07/06/2021 02:35,1761,0,0.369,161.816
07/06/2021 02:40,1756,0,0.344,162.16
07/06/2021 02:45,1752,0,0.344,162.504
07/06/2021 02:50,1747,0,0.319,162.824
07/06/2021 02:55,1743,0,0.369,163.192
07/06/2021 03:00,1737,0,0.369,163.561
07/06/2021 03:05,1732,0,0.393,163.954
07/06/2021 03:10,1727,0,0.369,164.323
07/06/2021 03:15,1722,0,0.344,164.667
07/06/2021 03:20,1718,0,0.344,165.011
07/06/2021 03:25,1713,0,0.344,165.355
07/06/2021 03:30,1708,0,0.369,165.724
07/06/2021 03:35,1703,0,0.369,166.092
07/06/2021 03:40,1698,0,0.344,166.436
07/06/2021 03:45,1694,0,0.369,166.805
07/06/2021 03:50,1688,0,0.344,167.149
07/06/2021 03:55,1684,0,0.369,167.517
07/06/2021 04:00,1679,0,0.344,167.861
07/06/2021 04:05,1674,0,0.393,168.255
07/06/2021 04:10,1668,0,0.369,168.623
07/06/2021 04:15,1664,0,0.369,168.992
07/06/2021 04:20,1659,0,0.319,169.311
07/06/2021 04:25,1655,0,0.344,169.655
07/06/2021 04:30,1650,0,0.344,169.999
07/06/2021 04:35,1645,0,0.393,170.392
07/06/2021 04:40,1639,0,0.369,170.761
07/06/2021 04:45,1635,0,0.393,171.154
07/06/2021 04:50,1629,0,0.369,171.523
07/06/2021 04:55,1624,0,0.418,171.941
07/06/2021 05:00,1618,0,0.418,172.358
07/06/2021 05:05,1611,0,0.516,172.874
